gene_id	chr	start	end	gene	san:yak-symp:tei_pbs	san:yak-symp:tei_pval_ortho	san:yak-symp:tei_pval_bs	paml_ps_scenario
LOC6529987	2R	10426833	10431833	Pex13	0.837589277042617	0.0396295498600043	0.0439923547895947	PS_independent
LOC6529988	2R	10430406	10436180	Dp	0.837589277042617	0.0396295498600043	0.0439923547895947	No_PS
LOC6530819	2R	15636916	15644799	CG13868	0.876230226623254	0.0189532629765237	0.0208947487770902	No_PS
LOC6531080	2R	17517617	17522618	CG5189	0.851997106201987	0.0346758561275037	0.0373189931646635	PS_spill
LOC6531081	2R	17521376	17526377	slim	0.851997106201987	0.0346758561275037	0.0373189931646635	No_PS
LOC6531148	2R	17832472	17837472	Hsf	0.843591287880193	0.037691147964678	0.04133596812336	No_PS
LOC6531253	2R	18384313	18390862	Dcr-2	0.883899788896608	0.0032306698255438	0.0047620590236159	PS_independent
LOC6531850	2R	22082495	22088309	pita	0.865625256004289	0.0267068705578289	0.0302244970682561	PS_spill_Dsan
LOC6531851	2R	22083584	22088584	Dcp-1	0.865625256004289	0.0267068705578289	0.0302244970682561	No_PS
LOC6532580	3L	2602024	2607024	Hsp67Ba	0.871170907447365	0.0200301529183717	0.0216074378826654	No_PS
LOC6534444	3L	17596829	17605560	Mipp1	0.835505293873431	0.0407064398018522	0.0452233632446791	PS_independent
LOC6534856	3L	20546669	20566016	kug	0.858951949851201	0.0316605642903295	0.0348569762544948	No_PS
LOC6535428	3R	3953236	3958236	CG5823	0.879868477709386	0.0114150333835881	0.013217143412485	No_PS
LOC6535826	3R	7128614	7137800	Lrrk	0.869484204139366	0.0241223346973939	0.0276005053613657	No_PS
LOC6536079	3R	9178373	9183373	MAGE	0.869484204139366	0.0241223346973939	0.0276005053613657	PS_spill_Dsan
LOC6536179	3R	9900447	9905448	CG9636	0.870540310169177	0.0230454447555459	0.0241666396708672	PS_unique_Dyak
LOC6536373	3R	11165504	11170505	by	0.860726334429565	0.0305836743484815	0.032492144222359	No_PS
LOC6536983	3R	15567730	15572730	Rbp4	0.870540310169177	0.0230454447555459	0.0241666396708672	No_PS
LOC6537726	3R	20846966	20852162	PyK	0.846779443413903	0.0368296360111996	0.039554245359422	PS_ancestral
LOC6538788	3R	28471512	28476513	Pisd	0.875709505755758	0.0198147749300021	0.0208947487770902	No_PS
LOC6539009	3R	30066438	30071439	Loxl1	0.875709505755758	0.0198147749300021	0.0208947487770902	No_PS
LOC6539038	3R	30353992	30358992	CG1890	0.833407840597219	0.0411371957785914	0.045806472512877	PS_independent
LOC6539039	3R	30354943	30359943	CG1896	0.879868477709386	0.0114150333835881	0.013217143412485	No_PS
LOC6539040	3R	30355783	30360784	awd	0.879868477709386	0.0114150333835881	0.013217143412485	No_PS
LOC6539041	3R	30357138	30362138	nero	0.879868477709386	0.0114150333835881	0.013217143412485	PS_spill_Dsan
LOC6539387	3L	19331414	19336415	pzg	0.883899788896608	0.0032306698255438	0.0047620590236159	No_PS
LOC6539552	3L	18201513	18206513	mrn	0.870847695033968	0.0221839328020676	0.0241666396708672	PS_spill_Dsan
LOC6539780	3L	19437892	19442892	AsnS	0.870847695033968	0.0221839328020676	0.0241666396708672	No_PS
