gene_id	chr	start	end	gene	san:yak-symp:tei_pbs	san:yak-symp:tei_pval_ortho	san:yak-symp:tei_pval_bs	paml_ps_scenario
LOC120452737	3R	28552805	28557806	awd	0.870540310169177	0.0136216216216216	0.0144045242847638	No_PS
LOC120452738	3R	28551034	28556034	CG1890	0.870540310169177	0.0136216216216216	0.0144045242847638	PS_independent
LOC120453062	3R	2209729	2214729	CG5823	0.879868477709386	0.0069189189189189	0.0069860279441117	No_PS
LOC120453180	3R	5993365	6011048	SIFaR	0.876230226623254	0.0099459459459459	0.0117431803060545	PS_spill_Dsan
LOC120453453	3R	7369902	7374902	MAGE	0.869484204139366	0.0149189189189189	0.0176979374584165	PS_spill_Dsan
LOC120453978	2L	4191982	4196982	Or24a	0.88046714365332	0.0058378378378378	0.0027278775781769	PS_spill_Dsan
LOC120454173	2L	292556	297557	smo	0.854222378668567	0.0205405405405405	0.0257817697937458	No_PS
LOC120454200	3R	8089969	8094970	CG9636	0.870540310169177	0.0136216216216216	0.0144045242847638	PS_unique_Dyak
LOC120454245	2L	295159	300160	CG11601	0.854222378668567	0.0205405405405405	0.0257817697937458	No_PS
LOC120454597	3R	13803430	13808431	Rbp4	0.869441279686084	0.0151351351351351	0.0188622754491017	No_PS
LOC120455029	X	16699136	16704136	CG15814	0.848411215839289	0.0242162162162162	0.0291417165668662	PS_spill_Dsan
LOC120455083	X	11825274	11830275	car	0.838858538061671	0.0265945945945945	0.0330339321357285	PS_spill_Dsan
LOC120455451	2L	366034	371034	Ent1	0.875503726911248	0.0108108108108108	0.0124417831004657	PS_spill_Dsan
LOC120455467	X	10310459	10318577	mei-41	0.854715136005434	0.0194594594594594	0.0257817697937458	No_PS
LOC120455772	X	10558672	10563672	SNRPG	0.870847695033968	0.0121081081081081	0.0144045242847638	No_PS
LOC120456339	X	10239874	10244874	CG9915	0.876716558890441	0.008	0.0069860279441117	No_PS
LOC120456373	X	881569	886570	CG14629	0.860496492365613	0.0183783783783783	0.0242847638057218	PS_independent
LOC120456378	X	878076	896152	CG42259	0.860496492365613	0.0183783783783783	0.0242847638057218	No_PS
LOC120456515	X	2666340	2671340	CG14440	0.88046714365332	0.0058378378378378	0.0027278775781769	PS_spill_Dsan
LOC120456641	X	8017022	8022022	Tango2	0.876716558890441	0.008	0.0069860279441117	PS_spill_Dsan
LOC120457020	X	3003489	3013744	AdamTS-B	0.851997106201987	0.0227027027027027	0.0270459081836327	No_PS
LOC120457217	X	11662048	11667049	CG18809	0.849959433259578	0.024	0.0289088489687292	No_PS
LOC120457220	X	11660095	11665095	Rpp20	0.849959433259578	0.024	0.0289088489687292	No_PS
LOC120457222	X	11662354	11667355	COX6B	0.849959433259578	0.024	0.0289088489687292	No_PS
LOC120457250	X	10556966	10561967	RpS19a	0.870847695033968	0.0121081081081081	0.0144045242847638	No_PS
LOC120457360	X	1342239	1347239	CG14795	0.876230226623254	0.0099459459459459	0.0117431803060545	No_PS
LOC120457404	X	2513457	2518458	dx	0.875709505755758	0.0105945945945945	0.0117431803060545	No_PS
LOC120457413	X	2509771	2514772	RpL7A	0.875709505755758	0.0105945945945945	0.0117431803060545	PS_ancestral
LOC120458117	2L	16665418	16670418	Cul1	0.883561755843136	0.0021621621621621	0.0027278775781769	No_PS
LOC120458133	2L	16668286	16673286	Or43b	0.883561755843136	0.0021621621621621	0.0027278775781769	No_PS
LOC120458220	2L	20794950	20799950	Tbce	0.862135113847053	0.0172972972972972	0.0219560878243512	PS_unique_Dyak
LOC120458322	2L	18903515	18908516	CG18011	0.8464568043953	0.0246486486486486	0.029940119760479	PS_spill_Dsan
LOC120458334	2L	549980	554981	lwr	0.883730772369872	0.0017297297297297	0.0024284763805721	No_PS
LOC120458421	2L	8321070	8326070	CG14932	0.851370303475266	0.0231351351351351	0.0285761809713905	PS_spill_Dsan
