gene_id	chr	start	end	gene	san:yak-symp:yak-allo_pbs	san:yak-symp:yak-allo_pval_ortho	san:yak-symp:yak-allo_pval_bs	paml_ps_scenario
LOC120453077	3R	1262015	1267016	eIF3f1	0.860726334429565	0.003094378545642	0.0032668914850054	No_PS
LOC120453142	3R	3798943	3803944	ATPsynD	0.88046714365332	0.0012893243940175	0.0009635071660845	PS_spill
LOC120453450	3R	7376340	7381626	gfzf	0.590874191345835	0.011990716864363	0.0158225942430446	No_PS
LOC120453452	3R	7376062	7382699	CG2656	0.430581900274695	0.0304280556988138	0.0439901240515476	No_PS
LOC120453513	3R	21498422	21503423	Brd8	0.409218424821055	0.0349406910778751	0.0496657834517644	PS_spill_Dsan
LOC120453861	3R	1919651	1924652	CG14667	0.566626775488158	0.0135379061371841	0.0190292665301698	No_PS
LOC120453898	3R	13852151	13857930	f-cup	0.413286921317137	0.0340381640020629	0.0476032759243646	No_PS
LOC120454175	3R	21849474	21854475	Nepl18	0.427999022996197	0.031330582774626	0.0443664940382994	No_PS
LOC120454246	3R	2594885	2599885	CG12347	0.509970510922705	0.0176637441980402	0.0252770083102493	No_PS
LOC120454274	3R	23849661	23870778	Lerp	0.442648691447605	0.0283651366683857	0.0404070817776707	No_PS
LOC120454591	3R	23838849	23843850	SPARC	0.871027135770715	0.002578648788035	0.0023636035168011	PS_spill_Dsan
LOC120454594	3R	23841604	23846604	His2Av	0.444083614916874	0.0279783393501805	0.04027158858244	PS_independent
LOC120454646	3R	25487350	25495625	Cad96Cb	0.452755246489043	0.0257864878803506	0.0371853546910755	PS_spill_Dsan
LOC120454917	4	218925	232169	CG31999	0.435013095729329	0.0299123259412068	0.0435384800674455	PS_independent
LOC120454923	4	521992	528255	bip2	0.582359309237017	0.0127643115007735	0.0179302661688546	PS_spill
LOC120455037	X	2233063	2243810	dtn	0.498933025024847	0.0180505415162454	0.0278363242201613	No_PS
LOC120455128	X	11015122	11020123	CG15201	0.407022771334709	0.0351985559566787	0.0499367698422257	No_PS
LOC120455135	X	22414401	22419402	CG17162	0.469064947978525	0.0223053120165033	0.0317054076839696	PS_independent
LOC120455136	X	22413773	22418774	CG17169	0.469064947978525	0.0223053120165033	0.0317054076839696	PS_spill_Dyak
LOC120455205	X	2332899	2337900	CG42240	0.43639281451947	0.0293965961835997	0.0418523425267975	No_PS
LOC120455247	X	10291566	10299866	Fur2	0.660538258960155	0.0085095410005157	0.009966277249187	PS_unique_Dyak
LOC120455279	X	13057738	13062738	Ppt1	0.443930900352525	0.0281072717895822	0.04027158858244	PS_spill_Dsan
LOC120455281	X	16951832	16962935	wupA	0.443210916034464	0.028236204228984	0.0403318077803203	No_PS
LOC120455339	X	6164213	6169213	z	0.512946557583422	0.0174058793192367	0.0251264603155485	No_PS
LOC120455360	X	11895810	11900810	CG12204	0.876716558890441	0.001547189272821	0.0010237263639648	PS_spill_Dsan
LOC120455361	X	11896783	11901783	ND-18	0.876716558890441	0.001547189272821	0.0010237263639648	No_PS
LOC120455431	X	19028329	19038113	CG34408	0.669701516627495	0.0078648788035069	0.009544742864025	No_PS
LOC120455459	X	8253317	8264104	na	0.672261315038515	0.0076070139247034	0.008912441286282	PS_spill_Dsan
LOC120455617	X	11900112	11906528	pcm	0.681670966424289	0.0073491490458999	0.0083855233048295	No_PS
LOC120455815	X	10303384	10308384	CG4239	0.679851892937484	0.0074780814853017	0.0083855233048295	No_PS
LOC120455878	X	7288302	7293303	CG4404	0.622001118496355	0.0100567302733367	0.0119535107792364	PS_spill_Dsan
LOC120455881	X	7290573	7295573	mRpL49	0.432930392512179	0.0300412583806085	0.0438094664579067	PS_independent
LOC120456296	X	623247	628247	tw	0.454217428270673	0.0256575554409489	0.0359358063350596	No_PS
LOC120456297	X	626031	631032	CG13360	0.454217428270673	0.0256575554409489	0.0359358063350596	PS_unique_Dyak
LOC120456298	2L	16573468	16578469	CG30383	0.421783481467091	0.0319752449716348	0.0453149464049138	No_PS
LOC120456367	X	2827128	2832128	CG43137	0.457643897242358	0.0247550283651366	0.0340539564013007	PS_independent
LOC120456607	X	13191221	13196221	IntS4	0.416953407453523	0.0332645693656524	0.0466397687582801	No_PS
LOC120456608	X	13188648	13193649	CG12112	0.457130803694657	0.0248839608045384	0.0342195591954715	No_PS
LOC120456731	2L	1506013	1511014	CG18131	0.739269051390842	0.0042547705002578	0.0051637962182343	PS_ancestral
LOC120456750	X	18141535	18172779	Zdhhc8	0.491704426212343	0.0189530685920577	0.0282578586053233	PS_ancestral
LOC120456770	2L	1508308	1513309	CG7420	0.739269051390842	0.0042547705002578	0.0051637962182343	No_PS
LOC120457228	X	10228083	10234405	CG3632	0.458167025981372	0.0246260959257349	0.0340238468023605	PS_spill_Dsan
LOC120457229	X	10224200	10229201	CG9911	0.460285684921565	0.0242392986075296	0.0335722028182584	PS_spill_Dsan
LOC120457264	X	10468921	10474470	Arp2	0.421664267131517	0.0322331098504383	0.0454353848006744	No_PS
LOC120457311	X	8556800	8561800	CG14414	0.552790787566181	0.0143115007735946	0.0220853908225942	PS_ancestral
LOC120457312	X	8557968	8562969	mRpS25	0.552790787566181	0.0143115007735946	0.0220853908225942	PS_spill_Dsan
LOC120457393	X	3623866	3632631	CG32767	0.544676699259325	0.0148272305312016	0.022461760809346	PS_spill
LOC120458334	2L	549980	554981	lwr	0.88381528063324	0.0006446621970087	0.000436589184632	No_PS
LOC120458590	2L	11229336	11234337	CG6583	0.6920788496089	0.0067044868488911	0.0079489341201975	No_PS
LOC120458594	2L	11227602	11232602	crok	0.6920788496089	0.0067044868488911	0.0079489341201975	PS_spill
LOC120458602	2L	2236483	2241484	Tengl3	0.663113389846433	0.0082516761217122	0.0098006744550162	No_PS
LOC120458700	2L	17958293	17963294	unpg	0.465270605798469	0.0229499742135121	0.0323828736601228	No_PS
LOC120458839	2L	21469868	21474868	CG8245	0.448685181420549	0.0272047447137699	0.0382693002529206	PS_unique_Dsan
LOC120458933	2L	16414829	16419829	CG1339	0.510880934277148	0.0175348117586384	0.0251415151150186	PS_spill_Dsan
