gene_id	chr	start	end	gene	san:yak-allo:tei_pbs	san:yak-allo:tei_pval_ortho	san:yak-allo:tei_pval_bs	paml_ps_scenario
LOC120453230	3R	11059969	11064969	CG4820	0.862135113847053	0.0218148062195404	0.0241735838066113	No_PS
LOC120453692	3R	17620339	17625339	CG46303	0.871513961372253	0.0129960547690879	0.0088466579292267	PS_unique_Dyak
LOC120453978	2L	4191982	4196982	Or24a	0.88046714365332	0.0078904618240891	0.0019295179845638	PS_spill_Dsan
LOC120454200	3R	8089969	8094970	CG9636	0.870540310169177	0.0183337201206776	0.0126692878986456	PS_unique_Dyak
LOC120454597	3R	13803430	13808431	Rbp4	0.869441279686084	0.0187978649338593	0.0197320518421435	No_PS
LOC120455029	X	16699136	16704136	CG15814	0.870540310169177	0.0183337201206776	0.0126692878986456	PS_spill_Dsan
LOC120455085	X	11784069	11789070	Tyler	0.854222378668567	0.027384543977721	0.027886995776904	PS_unique_Dyak
LOC120455091	X	11779923	11784924	Pstk	0.854222378668567	0.027384543977721	0.027886995776904	No_PS
LOC120455097	X	11780720	11785721	CG14210	0.854222378668567	0.027384543977721	0.027886995776904	PS_independent
LOC120455207	X	2719669	2727882	CG14439	0.870540310169177	0.0183337201206776	0.0126692878986456	PS_spill
LOC120455279	X	13057738	13062738	Ppt1	0.856143503054145	0.0248317475052216	0.0275229357798165	PS_spill_Dsan
LOC120455280	X	13060894	13068046	CAH3	0.856143503054145	0.0248317475052216	0.0275229357798165	PS_spill_Dsan
LOC120455313	X	9683153	9688154	CG9281	0.88046714365332	0.0078904618240891	0.0019295179845638	PS_unique_Dyak
LOC120455367	X	19685085	19690085	CG17068	0.879868477709386	0.0095149686702251	0.0087010339303917	PS_spill_Dsan
LOC120455451	2L	366034	371034	Ent1	0.875503726911248	0.0097470410768159	0.0087738459298092	PS_spill_Dsan
LOC120455617	X	11900112	11906528	pcm	0.88046714365332	0.0078904618240891	0.0019295179845638	No_PS
LOC120455772	X	10558672	10563672	SNRPG	0.870540310169177	0.0183337201206776	0.0126692878986456	No_PS
LOC120456339	X	10239874	10244874	CG9915	0.870540310169177	0.0183337201206776	0.0126692878986456	No_PS
LOC120456373	X	881569	886570	CG14629	0.860496492365613	0.0227430958459039	0.0250109217999126	PS_independent
LOC120456378	X	878076	896152	CG42259	0.860496492365613	0.0227430958459039	0.0250109217999126	No_PS
LOC120456515	X	2666340	2671340	CG14440	0.88046714365332	0.0078904618240891	0.0019295179845638	PS_spill_Dsan
LOC120457020	X	3003489	3013744	AdamTS-B	0.851997106201987	0.029009050823857	0.0296344837629241	No_PS
LOC120457217	X	11662048	11667049	CG18809	0.856143503054145	0.0248317475052216	0.0275229357798165	No_PS
LOC120457220	X	11660095	11665095	Rpp20	0.856143503054145	0.0248317475052216	0.0275229357798165	No_PS
LOC120457222	X	11662354	11667355	COX6B	0.856143503054145	0.0248317475052216	0.0275229357798165	No_PS
LOC120457250	X	10556966	10561967	RpS19a	0.870540310169177	0.0183337201206776	0.0126692878986456	No_PS
LOC120457360	X	1342239	1347239	CG14795	0.8464568043953	0.0324901369227198	0.0325105577399155	No_PS
LOC120457404	X	2513457	2518458	dx	0.871513961372253	0.0129960547690879	0.0088466579292267	No_PS
LOC120457413	X	2509771	2514772	RpL7A	0.871513961372253	0.0129960547690879	0.0088466579292267	PS_ancestral
LOC120458009	2L	13101015	13106015	Pten	0.88046714365332	0.0078904618240891	0.0019295179845638	No_PS
LOC120458117	2L	16665418	16670418	Cul1	0.862135113847053	0.0218148062195404	0.0241735838066113	No_PS
LOC120458133	2L	16668286	16673286	Or43b	0.862135113847053	0.0218148062195404	0.0241735838066113	No_PS
LOC120458220	2L	20794950	20799950	Tbce	0.862135113847053	0.0218148062195404	0.0241735838066113	PS_unique_Dyak
LOC120458322	2L	18903515	18908516	CG18011	0.8464568043953	0.0324901369227198	0.0325105577399155	PS_spill_Dsan
LOC120458878	2L	13097542	13102542	CG5676	0.88046714365332	0.0078904618240891	0.0019295179845638	PS_spill
