omega_san,omega_yak,yak_FB,mel_FB,CG,symbol,seqnames,start,end,length,type
0,0,FBgn0239792,FBgn0036587,CG4950,CG4950,3L,16265797,16268156,2360,genome
9,1,FBgn0229260,FBgn0035012,CG13590,CG13590,2R,24493256,24493948,693,genome
9,1,FBgn0229260,FBgn0035011,CG13589,CG13589,2R,24492214,24492855,642,genome
0.2,0,FBgn0228490,FBgn0039417,CG6073,CG6073,3R,26187018,26188807,1790,genome
1.25,NA,FBgn0230540,FBgn0265578,CG44405,CG44405,2L,16340392,16342324,1933,genome
0,1,FBgn0228985,FBgn0083970,CG34134,CG34134,2L,8190297,8190781,485,genome
0,0,FBgn0229708,FBgn0000057,CG5124,adp,2R,18151704,18154060,2357,genome
0,0.090909091,FBgn0235015,FBgn0029820,CG16721,CG16721,X,5879869,5883391,3523,genome
0.192307692,0.191489362,FBgn0233519,FBgn0000497,CG17941,ds,2L,640013,714983,74971,genome
0.060606061,0.041666667,FBgn0229953,FBgn0261554,CG42672,CG42672,2R,21295652,21310411,14760,genome
0,0,FBgn0068525,FBgn0025463,CG4303,Bap60,X,13157445,13159508,2064,genome
0,0.058823529,FBgn0242115,FBgn0020258,CG3478,ppk,2L,14378218,14381172,2955,genome
0.285714286,0.428571429,FBgn0237522,FBgn0052086,CG32086,CG32086,3L,11582401,11584064,1664,genome
0,0,FBgn0237773,FBgn0261445,CG10072,sgl,3L,6959554,6964758,5205,genome
0.2,0,FBgn0236511,FBgn0033226,CG1882,CG1882,2R,7812504,7815486,2983,genome
1,0,FBgn0233019,FBgn0052699,CG32699,CG32699,X,9571537,9579987,8451,genome
0.166666667,0.666666667,FBgn0233642,FBgn0030587,CG9522,CG9522,X,14846472,14848808,2337,genome
0.142857143,0.2,FBgn0235924,FBgn0261983,CG4713,l(2)gd1,2L,11106943,11110851,3909,genome
0.5,1,FBgn0068203,FBgn0035208,CG9184,CG9184,3L,1321792,1322806,1015,genome
3,NA,FBgn0068098,FBgn0035089,CG9358,Phk-3,2R,24970843,24973207,2365,genome
0.727272727,0.214285714,FBgn0238376,FBgn0035150,CG12189,Rev1,3L,654363,657971,3609,genome
0,0,FBgn0231142,FBgn0033688,CG8877,Prp8,2R,12154258,12162998,8741,genome
0.428571429,0.315789474,FBgn0231374,FBgn0050394,CG30394,CG30394,2R,21320040,21323320,3281,genome
0,0.25,FBgn0234392,FBgn0031263,CG2789,CG2789,2L,559612,560523,912,genome
0,0.2,FBgn0231260,FBgn0050077,CG30077,Blos1,2R,14601278,14602010,733,genome
NA,0,FBgn0238012,FBgn0035415,CG14966,CG14966,3L,3197045,3197631,587,genome
0,0,FBgn0230784,FBgn0005586,CG7576,Rab3,2R,10721335,10729203,7869,genome
NA,NA,FBgn0013163,FBgn0000055,CG3481,Adh,2L,14615552,14618902,3351,genome
0.666666667,0.222222222,FBgn0236166,FBgn0262029,CG42840,d,2L,8466817,8488671,21855,genome
0.6,0.222222222,FBgn0230187,FBgn0033720,CG13160,CG13160,2R,12371594,12375081,3488,genome
0.6,0.222222222,FBgn0230187,FBgn0053012,CG33012,CG33012,2R,12367353,12370886,3534,genome
0,0,FBgn0068418,FBgn0037351,CG1475,RpL13A,3R,5624474,5625947,1474,genome
0,0.142857143,FBgn0229593,FBgn0259795,CG4750,loopin-1,2R,16534943,16537086,2144,genome
NA,1.666666667,FBgn0236739,FBgn0028946,CG17868,Or35a,2L,15622068,15623558,1491,Or
NA,0.285714286,FBgn0236052,FBgn0032513,CG6565,CG6565,2L,13374019,13376404,2386,genome
0,0,FBgn0241976,FBgn0004777,CG2342,Ccp84Ag,3R,6686728,6688039,1312,genome
0,0,FBgn0234035,FBgn0023531,CG32809,CG32809,X,1673110,1692768,19659,genome
0.352941176,0.230769231,FBgn0233158,FBgn0028343,CG8465,l(1)G0222,X,17571854,17579229,7376,genome
0,NA,FBgn0239562,FBgn0037076,CG12972,ebd2,3L,21344768,21349288,4521,genome
NA,0,FBgn0241862,FBgn0053777,CG33777,CG33777,3L,4554537,4555236,700,genome
NA,0,FBgn0241862,FBgn0053654,CG33654,CG33654,3R,9582515,9583222,708,genome
2,NA,FBgn0232586,FBgn0031471,CG3117,CG3117,2L,2845926,2847212,1287,genome
NA,0.166666667,FBgn0233402,FBgn0031005,CG7890,Hs3st-B,X,19248639,19252045,3407,genome
NA,1,FBgn0236284,FBgn0051717,CG31717,CG31717,2L,10250737,10251714,978,genome
0.416666667,0.333333333,FBgn0243431,FBgn0038299,CG6687,Spn88Eb,3R,15206703,15208762,2060,genome
NA,NA,FBgn0238133,FBgn0266124,CG32038,ghi,3L,9451876,9452790,915,genome
NA,0.5,FBgn0235279,FBgn0028342,CG2968,l(1)G0230,X,10212970,10217393,4424,genome
NA,NA,FBgn0240246,FBgn0002533,CG8697,Lcp2,2R,8433797,8434785,989,genome
NA,NA,FBgn0240246,FBgn0002531,CG11650,Lcp1,2R,8430115,8431243,1129,genome
0.263157895,0.136363636,FBgn0237892,FBgn0035577,CG13708,CG13708,3L,4829092,4833591,4500,genome
0,0,FBgn0240681,FBgn0039213,CG6668,atl,3R,24625671,24634714,9044,genome
2,1,FBgn0238955,FBgn0052298,CG32298,CG32298,3L,2389583,2390989,1407,genome
0,0,FBgn0243192,FBgn0037981,CG3169,Spt3,3R,12017156,12018550,1395,genome
0.5,0.583333333,FBgn0230419,FBgn0032723,CG18397,ssp3,2L,18916347,18943960,27614,genome
0,0.5,FBgn0237651,FBgn0259200,CG42304,CG42304,3L,2652088,2655455,3368,genome
0,0,FBgn0229370,FBgn0034860,CG9812,CG9812,2R,23412320,23419684,7365,genome
NA,0,FBgn0228612,FBgn0051118,CG31118,RabX4,3R,24826665,24828409,1745,genome
0,0,FBgn0233285,FBgn0029948,CG15033,CspCheA7a,X,7378140,7378953,814,Csp
0.166666667,0.5,FBgn0237272,FBgn0002901,CG7347,mus304,3L,18109814,18112847,3034,genome
0,0,FBgn0235808,FBgn0031873,CG9207,Gas41,2L,6949310,6950207,898,genome
NA,NA,FBgn0234888,FBgn0030078,CG10970,CG10970,X,9069599,9071408,1810,genome
0,0.666666667,FBgn0228254,FBgn0039107,CG10300,CG10300,3R,23711527,23713313,1787,genome
0,0.25,FBgn0228724,FBgn0051019,CG31019,CG31019,3R,30597004,30599296,2293,genome
1,0.6,FBgn0237397,FBgn0036351,CG14107,CG14107,3L,13380359,13381346,988,genome
0.6,0.5,FBgn0237147,FBgn0085480,CG34451,CG34451,3L,15688517,15692047,3531,genome
1.125,1,FBgn0234652,FBgn0030625,CG5877,CG5877,X,15293031,15297169,4139,genome
1,0.428571429,FBgn0239676,FBgn0020887,CG8013,Su(z)12,3L,19918242,19923462,5221,genome
0,0,FBgn0231713,FBgn0034092,CG7798,CG7798,2R,16222112,16222627,516,genome
0.166666667,0.1875,FBgn0239434,FBgn0027500,CG17286,spd-2,3L,16591207,16595014,3808,genome
0,NA,FBgn0228139,FBgn0264491,CG10293,how,3R,22042191,22079321,37131,genome
NA,0,FBgn0230662,FBgn0014076,CG16874,Vm32E,2L,11171167,11171665,499,genome
1,0.5,FBgn0243316,FBgn0024248,CG5686,chico,2L,10242512,10247078,4567,genome
0,0,FBgn0238834,FBgn0053476,CG33476,CG33476,2R,10409985,10410570,586,genome
0,0,FBgn0238834,FBgn0053477,CG33477,CG33477,2R,10409155,10409751,597,genome
0,0,FBgn0238834,FBgn0033516,CG12898,CG12898,2R,10406975,10407445,471,genome
NA,NA,FBgn0237021,FBgn0036998,CG5969,CG5969,3L,20473783,20474791,1009,genome
0,0,FBgn0229261,FBgn0035006,CG4563,CG4563,2R,24451084,24453040,1957,genome
0,1,FBgn0242961,FBgn0040532,CG8369,CG8369,3R,8822008,8822838,831,genome
0,0.5,FBgn0240790,FBgn0039373,CG5024,CG5024,3R,25811096,25811775,680,genome
0,0,FBgn0233901,FBgn0053635,CG33635,CG33635,2L,157836,158664,829,genome
0,0.285714286,FBgn0229478,FBgn0017482,CG3425,T3dh,2R,22329726,22332072,2347,genome
0.166666667,0.666666667,FBgn0241269,FBgn0037383,CG2023,CG2023,3R,5822026,5824532,2507,genome
0,0,FBgn0242364,FBgn0037324,CG10609,orco,3R,5407183,5412406,5224,genome
0.090909091,0.083333333,FBgn0242735,FBgn0023097,CG5206,bon,3R,20593139,20612540,19402,genome
0.333333333,0,FBgn0235136,FBgn0000617,CG6474,e(y)1,X,17842161,17843348,1188,genome
NA,0,FBgn0241506,FBgn0264836,CG44044,CG44044,3R,16321838,16322189,352,genome
0.2,0,FBgn0239319,FBgn0036775,CG5147,CG5147,3L,18107848,18109574,1727,genome
0.5,3,FBgn0234155,FBgn0014903,CG14630,CG14630,X,1031505,1033165,1661,genome
0,0,FBgn0232207,FBgn0031945,CG7191,CG7191,2L,7767628,7775033,7406,genome
NA,0,FBgn0238256,FBgn0010333,CG2248,Rac1,3L,1300879,1302683,1805,genome
NA,0,FBgn0238256,FBgn0014011,CG8556,Rac2,3L,7433649,7435190,1542,genome
1,0.4,FBgn0231828,FBgn0034202,CG17287,CG17287,2R,17156534,17158316,1783,genome
0,0.25,FBgn0242612,FBgn0044871,CG7700,Gos28,3R,18663738,18665307,1570,genome
0.333333333,1,FBgn0228023,FBgn0037347,CG1427,CG1427,3R,5601433,5603185,1753,genome
3,0.333333333,FBgn0234773,FBgn0030297,CG12622,Gr10b,X,11411783,11413190,1408,Gr
0.416666667,0.333333333,FBgn0231602,FBgn0034276,CG6385,Sardh,2R,17753555,17756422,2868,genome
0.142857143,0.166666667,FBgn0241148,FBgn0086253,CG31152,rumi,3R,22749014,22750597,1584,genome
1,0,FBgn0242496,FBgn0037262,CG1057,MED31,3R,4641963,4643292,1330,genome
0,0,FBgn0236622,FBgn0028408,CG1975,Drep-2,2R,9291856,9302821,10966,genome
NA,NA,FBgn0231261,FBgn0053919,CG33919,CG33919,2R,6623832,6624577,746,genome
NA,NA,FBgn0231261,FBgn0053467,CG33467,CG33467,2R,15055503,15056241,739,genome
NA,NA,FBgn0231261,FBgn0053137,CG33137,CG33137,2R,13175395,13176075,681,genome
3,0.6,FBgn0240902,FBgn0046887,CG31059,Gr98b,3R,27542497,27543888,1392,Gr
3,0.6,FBgn0240902,FBgn0046885,CG31061,Gr98d,3R,27546052,27547462,1411,Gr
0,0,FBgn0231033,FBgn0033853,CG6145,CG6145,2R,13537371,13547577,10207,genome
0,0.333333333,FBgn0238709,FBgn0052249,CG32249,CG32249,3L,4470001,4471012,1012,genome
0.5,0.666666667,FBgn0239199,FBgn0001256,CG10717,ImpL1,3L,13382765,13383999,1235,genome
1,1,FBgn0243070,FBgn0037809,CG12818,CG12818,3R,10331581,10332695,1115,genome
0.6,0.333333333,FBgn0241630,FBgn0029512,CG12276,Aos1,3R,12432533,12433822,1290,genome
0.076923077,0.230769231,FBgn0236395,FBgn0028916,CG33090,CG33090,2L,14334158,14345795,11638,genome
0,NA,FBgn0236891,FBgn0053061,CG33061,CG33061,3L,16329795,16331227,1433,genome
0,0,FBgn0235485,FBgn0267378,CG7085,sau,2L,2226342,2231099,4758,genome
1.25,0.125,FBgn0241381,FBgn0263929,CG43162,jvl,3R,14741582,14795868,54287,genome
0.444444444,0.333333333,FBgn0238489,FBgn0261530,CG6754,nbs,3L,9720414,9723194,2781,genome
NA,0,FBgn0231488,FBgn0040732,CG16926,CG16926,2R,19500295,19501418,1124,genome
0,0,FBgn0084996,FBgn0013755,CG7960,Bro,3L,1647869,1648612,744,genome
1,0.5,FBgn0232892,FBgn0031168,CG1722,CG1722,X,21249976,21251148,1173,genome
0.357142857,0,FBgn0233159,FBgn0030844,CG8527,ppk23,X,17566552,17569228,2677,genome
0.733333333,0.583333333,FBgn0230912,FBgn0032026,CG7627,CG7627,2L,8355678,8362469,6792,genome
0.733333333,0.583333333,FBgn0230912,FBgn0051792,CG31792,CG31792,2L,18997448,19002713,5266,genome
0.733333333,0.583333333,FBgn0230912,FBgn0051793,CG31793,CG31793,2L,19003367,19008234,4868,genome
0.733333333,0.583333333,FBgn0230912,FBgn0032908,CG9270,CG9270,2L,20929456,20934113,4658,genome
0,0.25,FBgn0228372,FBgn0039580,CG1345,Gfat2,3R,28337019,28339765,2747,genome
0.5,0.333333333,FBgn0231947,FBgn0034919,CG5569,CG5569,2R,23865414,23866654,1241,genome
NA,0,FBgn0240569,FBgn0027654,CG2239,jdp,3R,30517059,30527037,9979,genome
0.375,0.25,FBgn0068305,FBgn0262527,CG4699,nsl1,3R,15793782,15802102,8321,genome
NA,NA,FBgn0234274,FBgn0262611,CG43137,CG43137,X,5864550,5865151,602,genome
1.392156863,0.319444444,FBgn0233020,FBgn0052702,CG32702,Cubn,X,9558665,9571308,12644,genome
0,0.153846154,FBgn0232058,FBgn0085442,CG34413,NKAIN,2R,24881570,24888615,7046,genome
0,0,FBgn0241025,FBgn0039688,CG1964,Kul,3R,29725830,29735360,9531,genome
0,0,FBgn0235016,FBgn0029821,CG4020,CG4020,X,5905746,5908001,2256,genome
0.266666667,0.307692308,FBgn0239081,FBgn0036191,CG7334,Sug,3L,11683980,11690155,6176,genome
0.25,0.166666667,FBgn0241752,FBgn0026315,CG6644,Ugt35a,3R,11170817,11172664,1848,genome
3,0,FBgn0238134,FBgn0035999,CG3552,CG3552,3L,9456318,9459370,3053,genome
0,0,FBgn0067991,FBgn0267384,CG4443,Ubc7,X,16593677,16595867,2191,genome
0.5,0,FBgn0230297,FBgn0042125,CG18787,CG18787,2L,11997900,11999340,1441,genome
0.5,0,FBgn0230297,FBgn0042127,CG18789,CG18789,2L,11993989,11995432,1444,genome
NA,0.333333333,FBgn0068204,FBgn0035196,CG9129,CG9129,3L,1250696,1251778,1083,genome
0.2,0.571428571,FBgn0242243,FBgn0038672,CG6005,CG6005,3R,19022458,19024030,1573,genome
1,2,FBgn0238600,FBgn0035412,CG14957,CG14957,3L,3187563,3188106,544,genome
1,2,FBgn0238600,FBgn0052284,CG32284,CG32284,3L,3186664,3187245,582,genome
0.333333333,0.5,FBgn0068526,FBgn0026562,CG6378,BM-40-SPARC,3R,26869238,26871995,2758,genome
1.25,0.8,FBgn0242850,FBgn0037498,CG10029,CG10029,3R,7315439,7317207,1769,genome
0.04,0.142857143,FBgn0235280,FBgn0085437,CG34408,CG34408,X,10220110,10230088,9979,genome
3,0,FBgn0236740,FBgn0028949,CG15254,CG15254,2L,15613905,15614828,924,genome
0.714285714,0.260869565,FBgn0228998,FBgn0031990,CG8552,CG8552,2L,8134247,8159638,25392,genome
0.5,0.214285714,FBgn0231143,FBgn0027504,CG8878,CG8878,2R,12146024,12151057,5034,genome
1,0.166666667,FBgn0229828,FBgn0032455,CG5792,Pih1D1,2L,12713276,12721843,8568,genome
1.5,0,FBgn0067424,FBgn0003495,CG6134,spz,3R,27064990,27070070,5081,genome
0,0,FBgn0234036,FBgn0023530,CG3740,CG3740,X,1668406,1669297,892,genome
0,0.25,FBgn0230074,FBgn0033919,CG8547,CG8547,2R,14261206,14267919,6714,genome
0.5,1.5,FBgn0232589,FBgn0031470,CG18557,CG18557,2L,2844601,2845734,1134,genome
0,0.333333333,FBgn0240682,FBgn0000139,CG6677,ash2,3R,24650125,24653376,3252,genome
0.5,0.25,FBgn0242116,FBgn0038845,CG10827,CG10827,3R,21005160,21006990,1831,genome
0,0,FBgn0235680,FBgn0003386,CG2822,Shaw,2L,3718185,3729145,10961,genome
0.4,0.384615385,FBgn0233777,FBgn0023507,CG3835,CG3835,X,2141489,2144937,3449,genome
0.833333333,1,FBgn0231375,FBgn0034617,CG9754,CG9754,2R,21310368,21312354,1987,genome
0.090909091,0,FBgn0229594,FBgn0034135,CG4905,Syn2,2R,16552258,16558486,6229,genome
0.125,0.25,FBgn0229709,FBgn0034307,CG10914,CG10914,2R,18158257,18160310,2054,genome
0,0,FBgn0238956,FBgn0052299,CG32299,CG32299,3L,2389583,2390989,1407,genome
0,0,FBgn0239563,FBgn0037074,CG7324,CG7324,3L,21337681,21343716,6036,genome
0.5,0.25,FBgn0234654,FBgn0261703,CG42739,gce,X,15297766,15319074,21309,genome
0.108695652,0.052631579,FBgn0229954,FBgn0034618,CG9485,CG9485,2R,21312399,21319569,7171,genome
NA,3,FBgn0231829,FBgn0262563,CG43103,CG43103,2R,17139450,17139931,482,genome
2.5,0.75,FBgn0236623,FBgn0033404,CG1978,Or45a,2R,9345349,9348863,3515,Or
2.5,0.666666667,FBgn0237526,FBgn0053489,CG33489,CG33489,3L,11574764,11577044,2281,genome
3,NA,FBgn0230188,FBgn0033721,CG13159,CG13159,2R,12375286,12375678,393,genome
0.2,0,FBgn0228491,FBgn0039411,CG32474,dys,3R,26076592,26098711,22120,genome
0,0,FBgn0233520,FBgn0011742,CG9901,Arp2,X,16548290,16553968,5679,genome
0.111111111,0.285714286,FBgn0240255,FBgn0033289,CG2121,CG2121,2R,8396397,8411767,15371,genome
3,1,FBgn0230667,FBgn0032986,CG3262,CG3262,2L,22239916,22246988,7073,genome
0.166666667,0.5,FBgn0234889,FBgn0030077,CG15365,CG15365,X,9054698,9067983,13286,genome
0.2,0,FBgn0231714,FBgn0046704,CG11199,Liprin-alpha,2L,6723903,6732766,8864,genome
0.833333333,0.111111111,FBgn0240791,FBgn0033224,CG1553,Nop17l,2R,7800785,7806385,5601,genome
0.153846154,0.466666667,FBgn0229371,FBgn0034859,CG3520,CG3520,2R,23396770,23402309,5540,genome
0,0.066666667,FBgn0230788,FBgn0033539,CG16728,Git,2R,10641818,10645427,3610,genome
NA,NA,FBgn0239435,FBgn0003741,CG16724,tra,3L,16590059,16591050,992,genome
0.789473684,0.619047619,FBgn0233643,FBgn0031258,CG4297,CG4297,2L,458876,475016,16141,genome
0.166666667,0.083333333,FBgn0241149,FBgn0039020,CG17141,CG17141,3R,22746446,22747599,1154,genome
0,0.2,FBgn0236053,FBgn0025724,CG6699,beta'COP,2L,13378902,13382382,3481,genome
0.285714286,0.076923077,FBgn0233403,FBgn0040068,CG7893,Vav,X,19261820,19273280,11461,genome
0,0,FBgn0230421,FBgn0003896,CG10619,tup,2L,18859507,18881261,21755,genome
0.538461538,0.083333333,FBgn0234774,FBgn0004864,CG1594,hop,X,11360930,11368098,7169,genome
NA,1,FBgn0237273,FBgn0052195,CG32195,CG32195,3L,18112959,18119150,6192,genome
0.5,0,FBgn0230913,FBgn0024227,CG6620,ial,2L,10856797,10858094,1298,genome
0,0,FBgn0231036,FBgn0004638,CG6033,drk,2R,13495222,13502841,7620,genome
0.583333333,1.3,FBgn0237149,FBgn0036528,CG7579,CG7579,3L,15681633,15683445,1813,genome
0.333333333,0.142857143,FBgn0232210,FBgn0003961,CG7171,Uro,2L,7780085,7781415,1331,genome
0,0.026785714,FBgn0237893,FBgn0261797,CG7507,Dhc64C,3L,4807368,4825687,18320,genome
0,0,FBgn0238377,FBgn0035155,CG12015,RabX6,3L,690517,691951,1435,genome
NA,0.333333333,FBgn0238710,FBgn0052248,CG32248,CG32248,3L,4471749,4472438,690,genome
0.666666667,0.625,FBgn0237398,FBgn0052119,CG32119,CG32119,3L,13246864,13248702,1839,genome
0.75,0.333333333,FBgn0229479,FBgn0085236,CG34207,CG34207,2R,22329195,22329720,526,genome
NA,NA,FBgn0233286,FBgn0265265,CG32727,CG32727,X,7407208,7407854,647,genome
0.75,0.166666667,FBgn0085000,FBgn0033315,CG8734,beta3GalTII,2R,8626181,8627611,1431,genome
0,0,FBgn0237774,FBgn0035722,CG10075,CG10075,3L,6956946,6958108,1163,genome
0,0,FBgn0241863,FBgn0027338,CG9423,Kap-alpha3,3R,9574484,9577733,3250,genome
NA,0,FBgn0068306,FBgn0035032,CG4692,CG4692,2R,24599088,24599821,734,genome
1,0,FBgn0242962,FBgn0037638,CG8379,CG8379,3R,8824411,8827279,2869,genome
0.666666667,0.25,FBgn0243193,FBgn0037985,CG14735,ssp5,3R,12033142,12035525,2384,genome
0,0,FBgn0068099,FBgn0014869,CG1721,Pglym78,3R,29148248,29149901,1654,genome
0.1,0.25,FBgn0231603,FBgn0003545,CG12298,sub,2R,17745500,17748078,2579,genome
0.1,0.333333333,FBgn0235925,FBgn0041246,CG14916,Gr32a,2L,11114014,11115823,1810,Gr
0,0.6,FBgn0239677,FBgn0036916,CG8025,Mtr3,3L,19912405,19913715,1311,genome
0.666666667,1,FBgn0013164,FBgn0000056,CG3484,Adhr,2L,14615552,14618902,3351,genome
1.5,2.25,FBgn0238013,FBgn0035414,CG14965,CG14965,3L,3190622,3192491,1870,genome
0.285714286,0.428571429,FBgn0237652,FBgn0053233,CG33233,CG33233,3L,2659639,2661501,1863,genome
4,0.5,FBgn0241507,FBgn0038414,CG6901,CG6901,3R,16323415,16325128,1714,genome
2,0.5,FBgn0236512,FBgn0003082,CG11205,phr,2R,7825289,7827319,2031,genome
0,0.142857143,FBgn0229263,FBgn0035004,CG15874,Pgam5-2,2R,24431344,24432733,1390,genome
0,0,FBgn0242365,FBgn0037323,CG2663,CG2663,3R,5400594,5404135,3542,genome
0.333333333,0.4,FBgn0242737,FBgn0038815,CG5466,CG5466,3R,20617883,20621269,3387,genome
0.5,0.375,FBgn0234156,FBgn0031233,CG11490,Tbc1d15-17,2L,207179,210725,3547,genome
0,0.086956522,FBgn0243434,FBgn0038296,CG6752,CG6752,3R,15191058,15196210,5153,genome
1,1.75,FBgn0234519,FBgn0052642,CG32642,CG32642,X,12959220,12960790,1571,genome
1.5,1.375,FBgn0228725,FBgn0051021,CG31021,CG31021,3R,30602206,30604041,1836,genome
2.333333333,0.333333333,FBgn0239082,FBgn0036193,CG14135,CG14135,3L,11691571,11692757,1187,genome
0.333333333,0.1875,FBgn0068419,FBgn0020385,CG4067,pug,3R,10696534,10703316,6783,genome
0,0,FBgn0231144,FBgn0033685,CG13178,CG13178,2R,12143191,12144552,1362,genome
0.25,0,FBgn0228613,FBgn0045980,CG10951,niki,3R,24822401,24825648,3248,genome
NA,NA,FBgn0236892,FBgn0036607,CG13059,CG13059,3L,16323672,16324308,637,genome
0,0,FBgn0235017,FBgn0026141,CG5450,Cdlc2,2L,1344400,1345135,736,genome
0,0,FBgn0235017,FBgn0011760,CG6998,ctp,X,4687800,4702034,14235,genome
0,0,FBgn0238490,FBgn0040475,CG6757,SH3PX1,3L,9710422,9713827,3406,genome
0,0.666666667,FBgn0239200,FBgn0036352,CG14110,CG14110,3L,13384789,13385925,1137,genome
0,0,FBgn0228255,FBgn0039109,CG10365,CG10365,3R,23723331,23731499,8169,genome
0,NA,FBgn0236167,FBgn0263314,CG43400,CG43400,2L,8490739,8491360,622,genome
0,0,FBgn0231948,FBgn0020372,CG11303,TM4SF,2R,23878197,23880860,2664,genome
0.333333333,0.181818182,FBgn0241270,FBgn0037382,CG2031,Hpr1,3R,5818794,5821440,2647,genome
0.166666667,0.142857143,FBgn0236285,FBgn0010407,CG4926,Ror,2L,10251843,10254686,2844,genome
NA,0.5,FBgn0235809,FBgn0031871,CG10158,Fgop2,2L,6943178,6945289,2112,genome
NA,2,FBgn0068527,FBgn0051813,CG31813,CG31813,2L,13736138,13737030,893,genome
NA,0,FBgn0228140,FBgn0038929,CG13408,CG13408,3R,22080382,22083473,3092,genome
