seqnames,start,end,length,yak_FB,mel_FB,CG,symbol,DA_yak,DA_san,DS_yak,DS_san,PA_yak,PS_yak,PA_san,PS_san,type
X,10869284,10870705,1422,FBgn0233454,FBgn0030244,CG2157,CG2157,0,0,0,0,13,42,6,18,genome
X,21217878,21218835,958,FBgn0233221,FBgn0052523,CG32523,CG32523,0,1,0,0,12,39,4,10,genome
X,16699152,16700170,1019,FBgn0233221,FBgn0030773,CG9676,CG9676,0,1,0,0,12,39,4,10,genome
X,15793721,15796028,2308,FBgn0233571,FBgn0030693,CG8974,CG8974,4,1,0,0,6,18,3,2,genome
X,15796908,15799162,2255,FBgn0233571,FBgn0052581,CG32581,CG32581,4,1,0,0,6,18,3,2,genome
X,939170,940805,1636,FBgn0234071,FBgn0040346,CG3704,CG3704,0,1,2,4,7,21,6,12,genome
X,1393054,1397337,4284,FBgn0234183,FBgn0024985,CG11448,CG11448,0,0,5,1,6,31,0,9,genome
2R,19292529,19304508,11980,FBgn0229811,FBgn0086358,CG7417,Tab2,0,1,0,0,46,43,5,11,genome
X,8712472,8714924,2453,FBgn0234901,FBgn0030060,CG2004,CG2004,0,2,1,0,15,72,1,20,genome
X,13609671,13612062,2392,FBgn0233696,FBgn0030500,CG9938,Ndc80,1,1,2,2,31,85,16,25,genome
2R,21057787,21059883,2097,FBgn0229926,FBgn0034577,CG10540,cpa,0,0,0,0,5,38,1,13,genome
X,11156676,11159760,3085,FBgn0234787,FBgn0052668,CG32668,CG32668,1,0,1,1,30,92,17,54,genome
2R,11237172,11237644,473,FBgn0230751,FBgn0085253,CG34224,CG34224,1,1,1,0,1,3,3,4,genome
X,8178549,8240474,61926,FBgn0233336,FBgn0261873,CG32717,sdt,1,0,0,0,30,87,12,57,genome
X,18606610,18617589,10980,FBgn0233085,FBgn0030940,CG15040,CG15040,19,31,2,5,191,135,92,43,genome
2R,13393705,13394667,963,FBgn0230272,FBgn0041579,CG4740,AttC,0,0,1,1,18,40,17,17,genome
2L,17286240,17287663,1424,FBgn0230509,FBgn0032631,CG15140,CG15140,1,0,1,0,17,12,10,11,genome
2R,14739359,14745335,5977,FBgn0230051,FBgn0033958,CG12858,CG12858,0,0,0,0,8,129,4,61,genome
2R,12190682,12192436,1755,FBgn0230161,FBgn0033697,CG8457,Cyp6t3,0,3,0,0,75,95,14,26,genome
2L,19179749,19181702,1954,FBgn0230391,FBgn0032763,CG17568,CG17568,7,3,9,7,21,19,4,6,genome
2L,21237250,21259675,22426,FBgn0230623,FBgn0261239,CG8676,Hr39,3,6,4,1,8,13,3,1,genome
X,15784009,15785583,1575,FBgn0233572,FBgn0025809,CG8962,Paf-AHalpha,0,0,1,1,2,14,0,4,genome
X,11152484,11153990,1507,FBgn0234788,FBgn0261277,CG1397,rtv,1,0,2,0,11,12,2,5,genome
X,5493014,5496052,3039,FBgn0234304,FBgn0029769,CG3239,frma,9,0,9,3,38,32,23,17,genome
2L,138384,140992,2609,FBgn0233953,FBgn0051975,CG31975,CG31975,2,2,2,6,21,21,6,7,genome
X,930931,932475,1545,FBgn0234072,FBgn0040342,CG3706,CG3706,0,6,7,1,10,22,6,6,genome
X,8691820,8693620,1801,FBgn0234902,FBgn0030058,CG11294,CG11294,0,0,0,4,16,31,2,4,genome
X,13593474,13602578,9105,FBgn0233697,FBgn0004169,CG7107,up,0,0,0,2,2,18,0,2,genome
X,2943386,2944569,1184,FBgn0233825,FBgn0029645,CG14422,CG14422,5,10,2,2,8,6,3,1,genome
X,16684216,16695173,10958,FBgn0233222,FBgn0259923,CG9699,4-Sep,0,0,2,0,2,66,0,36,genome
2R,19330889,19335188,4300,FBgn0229812,FBgn0054045,CG34045,CG34045,0,2,0,1,24,13,3,8,genome
2R,21060789,21061587,799,FBgn0229927,FBgn0034579,CG9353,mRpL54,0,0,0,0,15,28,7,13,genome
2R,11236203,11236686,484,FBgn0230752,FBgn0033590,CG13217,CG13217,1,0,3,0,7,4,3,4,genome
X,8240684,8241483,800,FBgn0233337,FBgn0030025,CG2147,CG2147,0,0,0,0,12,15,5,12,genome
2L,8316889,8319908,3020,FBgn0228879,FBgn0262598,CG7795,mtsh,4,9,0,1,47,80,13,16,genome
3R,21949114,22014539,65426,FBgn0228131,FBgn0264490,CG18389,Eip93F,2,0,1,0,58,130,23,56,genome
X,18521074,18522445,1372,FBgn0233091,FBgn0030936,CG6481,CG6481,6,8,0,1,67,39,21,20,genome
2L,9711512,9746495,34984,FBgn0228246,FBgn0028704,CG18660,Nckx30C,0,0,0,1,26,46,13,16,genome
2R,13407011,13408358,1348,FBgn0230274,FBgn0033835,CG18279,IM10,1,3,1,0,30,41,10,13,genome
2R,8933423,8934445,1023,FBgn0230274,FBgn0033353,CG13749,CG13749,1,3,1,0,30,41,10,13,genome
2R,13411739,13413085,1347,FBgn0230274,FBgn0053470,CG33470,CG33470,1,3,1,0,30,41,10,13,genome
2L,17384700,17409698,24999,FBgn0230511,FBgn0020503,CG5020,CLIP-190,1,0,2,1,5,8,2,11,genome
2R,14671396,14713622,42227,FBgn0230052,FBgn0020269,CG10145,mspo,0,0,0,0,44,73,18,26,genome
2R,22138895,22139295,401,FBgn0231780,FBgn0034700,CG11269,CG11269,3,0,0,0,5,4,2,5,genome
2R,16748815,16749460,646,FBgn0231667,FBgn0034153,CG15616,Acp53C14b,0,1,1,0,16,15,4,7,genome
2R,23357660,23358508,849,FBgn0231896,FBgn0034850,CG9875,CG9875,0,0,0,0,14,15,11,5,genome
2R,24400028,24404527,4500,FBgn0232008,FBgn0002787,CG3416,Rpn8,0,0,0,0,7,59,0,29,genome
2R,21799330,21800904,1575,FBgn0231331,FBgn0034661,CG4386,CG4386,0,0,0,0,10,46,5,26,genome
2R,12214010,12214395,386,FBgn0230163,FBgn0033701,CG13171,CG13171,0,0,0,0,7,14,2,6,genome
2R,20559156,20562331,3176,FBgn0231442,FBgn0034521,CG13431,Mgat1,0,0,0,1,15,57,4,32,genome
2R,18430315,18440475,10161,FBgn0231554,FBgn0050118,CG30118,CG30118,0,1,0,0,4,66,3,24,genome
2L,19133023,19135233,2211,FBgn0230393,FBgn0086447,CG10685,l(2)37Cg,0,2,1,0,1,8,0,1,genome
3R,20871036,20871700,665,FBgn0235502,FBgn0028396,CG31509,TotA,0,0,0,0,0,0,0,0,genome
3R,20873938,20874522,585,FBgn0235502,FBgn0038838,CG5609,TotB,0,0,0,0,0,0,0,0,genome
3R,20872988,20873580,593,FBgn0235502,FBgn0044812,CG31508,TotC,0,0,0,0,0,0,0,0,genome
2R,16291453,16292269,817,FBgn0229571,FBgn0050100,CG30100,CG30100,0,0,0,1,3,12,5,2,genome
2R,17757405,17760517,3113,FBgn0229682,FBgn0022740,CG5005,HLH54F,0,0,0,0,26,22,5,10,genome
2R,17427795,17429315,1521,FBgn0229456,FBgn0034215,CG4802,Mtap,0,1,0,0,2,58,2,18,genome
2R,7790368,7791170,803,FBgn0236508,FBgn0033222,CG12824,CG12824,0,0,1,0,6,8,0,4,genome
2R,7789206,7789988,783,FBgn0236508,FBgn0033221,CG12825,CG12825,0,0,1,0,6,8,0,4,genome
2L,15749319,15751078,1760,FBgn0236735,FBgn0001989,CG13240,l(2)35Di,0,1,0,1,5,3,1,5,genome
2L,21261168,21262411,1244,FBgn0230624,FBgn0021856,CG8674,l(2)k14505,1,1,5,2,5,5,0,1,genome
2R,9242320,9244410,2091,FBgn0236619,FBgn0033397,CG10843,Cyp4p3,2,1,0,5,11,29,11,21,genome
2R,9240041,9242139,2099,FBgn0236619,FBgn0015037,CG10842,Cyp4p1,2,1,0,5,11,29,11,21,genome
2R,9237512,9239831,2320,FBgn0236619,FBgn0033395,CG1944,Cyp4p2,2,1,0,5,11,29,11,21,genome
2L,10211170,10213721,2552,FBgn0236282,FBgn0032194,CG4901,CG4901,0,0,0,0,26,81,6,33,genome
X,11140474,11141835,1362,FBgn0234789,FBgn0030270,CG15199,CG15199,0,1,0,1,19,12,12,3,genome
X,1409069,1453686,44618,FBgn0234184,FBgn0259108,CG34387,futsch,31,18,30,15,272,256,71,86,genome
2L,421771,422489,719,FBgn0234306,FBgn0031254,CG13692,CG13692,0,0,5,1,9,24,2,4,genome
X,5755574,5759751,4178,FBgn0233954,FBgn0029801,CG15771,CG15771,0,1,2,0,5,14,1,5,genome
X,15780398,15783710,3313,FBgn0233573,FBgn0030691,CG8959,Efhc1.1,2,0,4,4,12,88,3,20,genome
X,8688627,8690265,1639,FBgn0234903,FBgn0030057,CG12108,Ppt1,1,0,0,3,10,28,2,3,genome
X,13552559,13555800,3242,FBgn0233698,FBgn0030495,CG11816,CG11816,0,0,0,0,34,18,17,2,genome
X,2945403,2946589,1187,FBgn0233826,FBgn0029646,CG14423,CG14423,0,2,2,2,3,7,4,2,genome
2L,14263027,14328262,65236,FBgn0236393,FBgn0261563,CG42677,wb,2,0,0,3,134,416,49,213,genome
2R,19341809,19345754,3946,FBgn0229813,FBgn0034435,CG9975,CG9975,1,6,1,0,10,62,7,13,genome
X,16680089,16683895,3807,FBgn0233223,FBgn0000152,CG9703,Axs,0,0,2,1,4,111,8,44,genome
2R,21061646,21063212,1567,FBgn0229928,FBgn0034580,CG9357,Cht8,0,1,1,1,66,74,17,18,genome
X,8242528,8248033,5506,FBgn0233338,FBgn0020653,CG2151,Trxr-1,0,1,0,0,3,80,2,37,genome
2L,3695032,3695411,380,FBgn0232408,FBgn0031560,CG16713,CG16713,0,0,0,0,11,8,4,8,genome
2L,2214972,2216311,1340,FBgn0232786,FBgn0031398,CG10880,CG10880,0,0,0,0,28,54,6,16,genome
2L,7410909,7412229,1321,FBgn0232133,FBgn0031910,CG15818,CG15818,1,0,2,0,30,39,19,20,genome
X,18512829,18514867,2039,FBgn0233092,FBgn0030933,CG6470,CG6470,2,1,0,2,36,57,26,22,genome
3R,22014697,22016212,1516,FBgn0228133,FBgn0038921,CG6332,CG6332,0,0,0,0,5,41,7,22,genome
2R,13433028,13433760,733,FBgn0230275,FBgn0050065,CG30065,CG30065,0,1,0,2,8,6,1,2,genome
2L,8309876,8311195,1320,FBgn0228882,FBgn0032017,CG7810,CG7810,0,0,0,0,47,52,18,30,genome
2R,14665641,14666817,1177,FBgn0230053,FBgn0033954,CG12860,CG12860,0,4,0,0,18,45,2,20,genome
2L,17410641,17413499,2859,FBgn0230512,FBgn0032635,CG15141,CG15141,4,0,5,1,11,10,4,10,genome
X,10905767,10923436,17670,FBgn0233457,FBgn0264502,CG43901,CG43901,0,1,0,3,144,239,52,121,genome
3R,23684057,23686537,2481,FBgn0228247,FBgn0042106,CG18754,CG18754,0,0,0,0,64,36,28,19,genome
2R,12240399,12240813,415,FBgn0230164,FBgn0033703,CG13170,CG13170,0,1,0,1,10,16,3,9,genome
X,11139762,11140263,502,FBgn0234790,FBgn0052667,CG32667,ssp7,1,0,0,0,2,7,0,3,genome
2R,16747834,16748590,757,FBgn0231668,FBgn0034152,CG8626,Acp53C14a,2,0,0,0,17,18,6,11,genome
2L,19129469,19131954,2486,FBgn0230394,FBgn0086443,CG10687,Aats-asn,1,0,1,3,7,23,2,3,genome
2R,22139935,22141364,1430,FBgn0231781,FBgn0029084,CG6727,gom,0,0,0,0,19,43,8,24,genome
2R,23599526,23600787,1262,FBgn0229352,FBgn0260761,CG42559,CG42559,1,1,0,2,31,30,10,9,genome
2R,21798017,21799195,1179,FBgn0231332,FBgn0042098,CG18735,CG18735,0,0,1,1,23,77,10,26,genome
2R,17440297,17442483,2187,FBgn0229458,FBgn0034218,CG18467,CG18467,0,0,0,0,22,39,8,11,genome
2R,24578247,24579827,1581,FBgn0229242,FBgn0069913,CG4681,CG4681,0,2,0,0,44,69,21,28,genome
3R,28649909,28650480,572,FBgn0228359,FBgn0051050,CG31050,CG31050,0,0,0,0,11,6,10,3,genome
3R,26627885,26628724,840,FBgn0228476,FBgn0039439,CG6460,TwdlK,0,1,0,1,33,41,9,32,genome
3R,26629918,26630825,908,FBgn0228476,FBgn0039440,CG5471,TwdlJ,0,1,0,1,33,41,9,32,genome
2L,6491061,6496988,5928,FBgn0231555,FBgn0051638,CG31638,CG31638,0,0,0,0,11,97,1,52,genome
3R,30250928,30252830,1903,FBgn0228704,FBgn0039760,CG9682,CG9682,0,0,0,1,102,86,45,60,genome
2R,17760940,17764541,3602,FBgn0229683,FBgn0027572,CG5009,CG5009,0,1,0,3,25,126,11,37,genome
X,1466134,1468692,2559,FBgn0234185,FBgn0026872,CG14777,CG14777,1,0,1,0,4,14,4,1,genome
X,15765470,15766445,976,FBgn0233574,FBgn0030688,CG8952,CG8952,0,0,1,0,6,33,0,8,genome
X,5412386,5420867,8482,FBgn0234307,FBgn0263987,CG3249,spoon,1,0,0,3,10,11,4,9,genome
2L,21262956,21282790,19835,FBgn0230625,FBgn0032938,CG8671,CG8671,4,10,9,15,12,11,3,3,genome
2R,16307269,16316485,9217,FBgn0229574,FBgn0085428,CG34399,Nox,0,0,0,3,86,236,22,75,genome
2R,10041065,10043507,2443,FBgn0233702,FBgn0085249,CG34220,CG34220,0,0,0,0,19,28,11,15,genome
X,13456534,13457663,1130,FBgn0233702,FBgn0085353,CG34324,CG34324,0,0,0,0,19,28,11,15,genome
3R,24938710,24944956,6247,FBgn0228598,FBgn0029157,CG6238,ssh,0,0,0,0,34,148,5,40,genome
2L,6323767,6332789,9023,FBgn0231443,FBgn0265778,CG9491,PDZ-GEF,0,0,0,1,32,215,5,95,genome
X,5764553,5789576,25024,FBgn0233956,FBgn0261610,CG42699,CG42699,4,1,3,1,25,70,9,17,genome
X,8630159,8650681,20523,FBgn0234904,FBgn0004102,CG12154,oc,0,0,1,0,4,45,1,17,genome
X,922889,927582,4694,FBgn0234074,FBgn0040344,CG3711,CG3711,0,1,12,8,5,53,1,17,genome
4,879,5039,4161,FBgn0232134,FBgn0267363,CG45760,JYalpha,0,0,6,7,6,8,3,7,genome
X,16678265,16678945,681,FBgn0233224,FBgn0030770,CG13010,CG13010,0,0,0,0,7,16,3,2,genome
2L,8482374,8483005,632,FBgn0236165,FBgn0264340,CG43796,CG43796,0,0,0,0,18,21,16,7,genome
X,2947094,2947580,487,FBgn0233827,FBgn0029647,CG17959,CG17959,2,0,3,2,3,4,2,0,genome
2L,10222657,10224447,1791,FBgn0236283,FBgn0032195,CG4908,CG4908,0,0,0,1,15,50,1,11,genome
2R,9242320,9244410,2091,FBgn0236620,FBgn0033397,CG10843,Cyp4p3,1,4,1,1,16,21,22,8,genome
2R,9240041,9242139,2099,FBgn0236620,FBgn0015037,CG10842,Cyp4p1,1,4,1,1,16,21,22,8,genome
2R,9237512,9239831,2320,FBgn0236620,FBgn0033395,CG1944,Cyp4p2,1,4,1,1,16,21,22,8,genome
2L,15727581,15748150,20570,FBgn0236736,FBgn0010382,CG3938,CycE,5,3,6,3,13,14,10,18,genome
2R,19357532,19363124,5593,FBgn0229814,FBgn0034436,CG11961,CG11961,1,1,1,4,23,160,11,51,genome
2R,11226458,11232516,6059,FBgn0230754,FBgn0050021,CG30021,metro,1,0,6,0,11,8,13,15,genome
2R,21074018,21088945,14928,FBgn0229930,FBgn0003748,CG9364,Treh,0,1,0,5,15,86,4,42,genome
X,8252670,8272462,19793,FBgn0233339,FBgn0030027,CG1632,CG1632,0,0,0,0,48,147,18,69,genome
2R,7793625,7801044,7420,FBgn0236509,FBgn0002891,CG1925,mus205,2,6,3,10,132,131,43,29,genome
3L,20442419,20450580,8162,FBgn0237017,FBgn0036993,CG5910,CG5910,0,0,0,0,0,3,0,0,genome
3L,16318954,16319526,573,FBgn0236888,FBgn0036605,CG13041,CG13041,0,1,0,0,16,16,4,7,genome
3L,16319856,16320454,599,FBgn0236888,FBgn0036606,CG13060,CG13060,0,1,0,0,16,16,4,7,genome
3L,17858474,17860482,2009,FBgn0237262,FBgn0054002,CG34002,CG34002,0,0,0,0,11,4,1,2,genome
X,18505883,18512521,6639,FBgn0233093,FBgn0030932,CG6461,Ggt-1,0,1,2,1,7,93,8,32,genome
3L,13439317,13440470,1154,FBgn0237386,FBgn0036363,CG10140,CG10140,0,2,0,0,59,55,4,11,genome
2L,8306696,8308192,1497,FBgn0228890,FBgn0032015,CG7830,Ostgamma,0,0,0,0,13,47,1,24,genome
2R,13434207,13435045,839,FBgn0230276,FBgn0019928,CG4812,Ser8,1,4,1,2,26,25,14,12,genome
3L,15837773,15844062,6290,FBgn0237140,FBgn0052150,CG32150,CG32150,0,0,2,1,50,40,14,29,genome
3R,22023527,22024341,815,FBgn0228134,FBgn0038923,CG13410,mRpL35,0,0,0,0,6,17,0,7,genome
2R,12241218,12241872,655,FBgn0230165,FBgn0263020,CG43315,CG43315,0,0,0,0,55,26,15,12,genome
4,69326,114270,44945,FBgn0232135,FBgn0085432,CG34403,pan,4,0,1,2,5,1,0,1,genome
2R,14664246,14665356,1111,FBgn0230054,FBgn0033953,CG12861,CG12861,2,1,0,0,3,36,5,13,genome
2L,824329,825861,1533,FBgn0233458,FBgn0031286,CG3862,CG3862,0,2,6,4,17,55,6,14,genome
2L,17433862,17435800,1939,FBgn0230513,FBgn0032636,CG5043,CG5043,5,6,4,8,15,20,14,8,genome
2R,23599526,23600787,1262,FBgn0229353,FBgn0260762,CG42560,CG42560,0,1,0,0,5,6,1,5,genome
2L,14328429,14333860,5432,FBgn0236394,FBgn0261529,CG15287,ms(2)34Fe,10,3,2,5,70,213,52,118,genome
3R,23686255,23688147,1893,FBgn0228248,FBgn0039102,CG16705,SPE,0,0,0,0,21,66,9,28,genome
2L,3692699,3693182,484,FBgn0232409,FBgn0031559,CG3513,CG3513,1,0,0,0,11,5,10,5,genome
2L,13812700,13813256,557,FBgn0229243,FBgn0032533,CG16888,CG16888,1,0,0,0,21,27,15,19,genome
2R,17453399,17455729,2331,FBgn0229459,FBgn0034221,CG10764,CG10764,3,9,2,9,77,36,5,1,genome
2L,20248039,20248872,834,FBgn0230987,FBgn0259996,CR40341,CR40341,0,0,0,0,11,4,9,4,genome
2L,2212738,2214211,1474,FBgn0232790,FBgn0010288,CG4265,Uch,0,0,0,0,6,42,2,14,genome
2R,12651301,12652487,1187,FBgn0231106,FBgn0033761,CG8778,CG8778,1,0,0,1,16,47,6,17,genome
2R,14165051,14166991,1941,FBgn0231219,FBgn0033903,CG8323,CG8323,0,0,0,0,2,45,1,8,genome
2R,17786135,17788556,2422,FBgn0229684,FBgn0026309,CG5032,aft,0,1,0,2,93,118,43,48,genome
2L,19123998,19126976,2979,FBgn0230395,FBgn0086444,CG10689,l(2)37Cb,0,0,3,9,12,39,3,6,genome
X,13409369,13413074,3706,FBgn0233703,FBgn0030485,CG1998,CG1998,0,0,0,0,14,55,1,16,genome
X,1467493,1470614,3122,FBgn0234186,FBgn0029580,CG14778,CG14778,0,0,0,2,7,9,9,5,genome
2L,16663454,16676701,13248,FBgn0230872,FBgn0032593,CG5996,Trpgamma,1,0,10,4,11,38,3,46,genome
X,5405238,5410849,5612,FBgn0234308,FBgn0029762,CG3252,NAAT1,0,2,8,1,13,31,3,11,genome
2R,16322186,16324801,2616,FBgn0229575,FBgn0034114,CG4282,CG4282,0,0,0,3,38,106,10,22,genome
X,5789487,5790919,1433,FBgn0233957,FBgn0029809,CG15767,CG15767,2,0,4,2,6,28,7,8,genome
2L,21290734,21297686,6953,FBgn0230626,FBgn0264556,CG31622,Gr39a,2,4,4,3,14,10,4,2,Gr
X,15751674,15760733,9060,FBgn0233575,FBgn0030685,CG8948,graf,0,0,1,2,21,77,6,33,genome
3R,26625932,26626738,807,FBgn0228477,FBgn0039438,CG6452,TwdlO,0,0,0,0,12,33,5,17,genome
3R,28641585,28642891,1307,FBgn0228360,FBgn0039592,CG14062,CG14062,0,2,1,1,19,78,9,25,genome
2L,1352970,1354109,1140,FBgn0233225,FBgn0031333,CG5561,CG5561,0,2,0,0,23,60,11,34,genome
2L,1351728,1352868,1141,FBgn0233225,FBgn0031332,CG5556,CG5556,0,2,0,0,23,60,11,34,genome
3R,30253182,30254097,916,FBgn0228705,FBgn0039761,CG18404,CG18404,0,0,0,0,58,36,24,13,genome
2L,15628678,15629552,875,FBgn0238358,FBgn0028945,CG7631,CG7631,3,1,4,0,7,9,7,3,genome
X,8602137,8606304,4168,FBgn0234906,FBgn0030054,CG12109,Caf1-180,1,2,1,1,135,156,42,55,genome
3L,4262705,4263464,760,FBgn0238691,FBgn0035521,CG1268,VhaM9.7-a,0,0,0,0,0,17,0,3,genome
2R,6050949,6068680,17732,FBgn0237997,FBgn0033058,CG14593,CCHa2-R,0,3,3,4,5,12,2,7,genome
